time,with 2d mot,without 2d mot
0,5279504.85,5206514.8
263.1578947,5372220.55,5291268.75
526.3157895,5453897.65,5358872.4
789.4736842,5508878.65,5406378.3
1052.631579,5553223.1,5440405.45
1315.789474,5583420.95,5466560.45
1578.947368,5619350.2,5481570.7
1842.105263,5618761.5,5498492.65
2105.263158,5623311.6,5506846.2
2368.421053,5638875.65,5513102.3
2631.578947,5655876.7,5517033.8
2894.736842,5647566.7,5527121.35
3157.894737,5646000.85,5528184.6
3421.052632,5645165.1,5532786.65
3684.210526,5638372.75,5533175.8
3947.368421,5626831.4,5534066.6
4210.526316,5628461.2,5536779.5
4473.684211,5612613.75,5535376.95
4736.842105,5627755.9,5538676.95
5000,5622458,5542113.9
