Free precession times (us),Normalized fluorescence
0.0,0.7887954586849615
0.035,0.8917491348430575
0.07,0.9281312610041892
0.105,0.8600115354259
0.14,0.9149717685629288
0.175,0.8646560621698743
0.21,0.979221055187906
0.245,0.9126495051909417
0.28,0.8801378179831219
0.315,0.9025863639123307
0.35,0.935872138910813
0.385,0.8932973104243823
0.42,0.9281312610041892
0.455,0.9482575435614109
0.49,0.9381944022828
0.525,0.919616295306903
0.56,0.9281312610041892
0.595,0.9467093679800862
0.63,0.9304535243761763
0.665,0.8832341691457712
0.7,0.9203903830975655
0.735,0.9087790662376298
0.77,0.9250349098415397
0.805,0.9149717685629288
0.84,0.9559984214680347
0.875,0.9970250743731407
0.91,0.9707060894906199
0.945,0.9033604517029932
0.98,0.882460081355109
1.015,0.9498057191427357
1.05,0.9126495051909417
1.085,0.8948454860057069
1.12,0.9428389290267742
1.155,0.9459352801894239
1.19,0.932001699957501
1.225,0.9041345394936555
1.26,0.9103272418189544
1.295,0.9312276121668387
1.33,0.9335498755388257
1.365,0.9296794365855139
1.4,0.944387104608099
1.435,0.8484002185659644
1.47,0.9350980511201505
1.505,0.8793637301924594
1.54,0.8994900127496812
1.575,0.9327757877481634
1.61,0.9080049784469674
1.645,0.9033604517029932
1.68,0.9296794365855139
1.715,0.9025863639123307
1.75,0.9180681197255782
